group,day_order,day,calendar_date,days_since_day1,tray_count,mean_observed_ndvi,sd_observed_ndvi,mean_adjusted_ndvi,sd_adjusted_ndvi,mean_observed_ndre,sd_observed_ndre,mean_adjusted_ndre,sd_adjusted_ndre,mean_day7_imputed_cells,group_type
Microbes | Inside,2,Day 2,2026-06-30,1,2,0.3159524004374231,0.018495637201579117,0.3159524004374231,0.018495637201579117,-0.022689652059800957,0.012182886221985536,-0.022689652059800957,0.012182886221985536,0.0,Microbe x Environment
Microbes | Inside,3,Day 3,2026-07-01,2,2,0.3121249313865389,0.014789568777411397,0.3121249313865389,0.014789568777411397,-0.031226291552541453,0.01295351191072922,-0.031226291552541453,0.01295351191072922,0.0,Microbe x Environment
Microbes | Inside,4,Day 4,2026-07-02,3,2,0.32826147207192014,0.007548488526344356,0.32826147207192014,0.007548488526344356,-0.024063400019908157,0.011441917394642604,-0.024063400019908157,0.011441917394642604,0.0,Microbe x Environment
Microbes | Inside,5,Day 5,2026-07-03,4,2,0.31670045150177817,0.014422096727272146,0.31670045150177817,0.014422096727272146,-0.02019677503225724,0.018594563139594806,-0.02019677503225724,0.018594563139594806,0.0,Microbe x Environment
Microbes | Inside,6,Day 6,2026-07-04,5,2,0.30267046775136675,0.004721774056850425,0.30267046775136675,0.004721774056850425,-0.04014460604937211,5.782895938699846e-05,-0.04014460604937211,5.782895938699846e-05,0.0,Microbe x Environment
Microbes | Inside,7,Day 7,2026-07-07,8,2,0.2906917006841727,0.0028827319963742734,0.2757867499121598,0.013440567522473669,-0.045806234845492406,0.007445083966482639,-0.05795222898013884,0.011941127999108783,40.5,Microbe x Environment
Microbes | Outside,1,Day 1,2026-06-29,0,2,0.32555665991136007,0.007932176275399274,0.32555665991136007,0.007932176275399274,-0.02209454191116879,0.0032648372188775134,-0.02209454191116879,0.0032648372188775134,0.0,Microbe x Environment
Microbes | Outside,2,Day 2,2026-06-30,1,2,0.32219623433692113,0.01330543825359594,0.32219623433692113,0.01330543825359594,-0.020719417158397816,0.022721078943860593,-0.020719417158397816,0.022721078943860593,0.0,Microbe x Environment
Microbes | Outside,3,Day 3,2026-07-01,2,2,0.31155195598091395,0.010254821661877044,0.31155195598091395,0.010254821661877044,-0.019057864968323984,0.020896734017177843,-0.019057864968323984,0.020896734017177843,0.0,Microbe x Environment
Microbes | Outside,4,Day 4,2026-07-02,3,2,0.32246431495462147,0.0048138619103575515,0.32246431495462147,0.0048138619103575515,-0.021950188957732382,0.013680258786044511,-0.021950188957732382,0.013680258786044511,0.0,Microbe x Environment
Microbes | Outside,5,Day 5,2026-07-03,4,2,0.30647103403295783,0.004739518482171252,0.30647103403295783,0.004739518482171252,-0.02234535546033706,0.010115234238951772,-0.02234535546033706,0.010115234238951772,0.0,Microbe x Environment
Microbes | Outside,6,Day 6,2026-07-04,5,2,0.31268269621900147,0.0004832625386265729,0.31268269621900147,0.0004832625386265729,-0.025765679862316926,0.0011635397503554246,-0.025765679862316926,0.0011635397503554246,0.0,Microbe x Environment
Microbes | Outside,7,Day 7,2026-07-07,8,2,0.2948242182178157,0.0033974558026941396,0.2947110318711826,0.0035575254691781297,-0.05566952726138485,0.003483174288982263,-0.055775495302597275,0.003633035730042991,1.0,Microbe x Environment
No Microbes | Dynamic Heat,1,Day 1,2026-06-29,0,2,0.3114871086818831,0.006739949706538716,0.3114871086818831,0.006739949706538716,-0.05424261707978851,0.008275784965715233,-0.05424261707978851,0.008275784965715233,0.0,Microbe x Environment
No Microbes | Dynamic Heat,2,Day 2,2026-06-30,1,2,0.30312962265951293,0.006209583850016344,0.30312962265951293,0.006209583850016344,-0.0413592972035985,0.008202384955455473,-0.0413592972035985,0.008202384955455473,0.0,Microbe x Environment
No Microbes | Dynamic Heat,3,Day 3,2026-07-01,2,2,0.28414852885263303,0.007712499224213074,0.28414852885263303,0.007712499224213074,-0.06471508967889734,0.011420065550199225,-0.06471508967889734,0.011420065550199225,0.0,Microbe x Environment
No Microbes | Dynamic Heat,4,Day 4,2026-07-02,3,2,0.30443129209535463,0.009623356654587023,0.30443129209535463,0.009623356654587023,-0.05281101011538075,0.00367623791964738,-0.05281101011538075,0.00367623791964738,0.0,Microbe x Environment
No Microbes | Dynamic Heat,5,Day 5,2026-07-03,4,2,0.3037241527012416,0.003314606387856178,0.3037241527012416,0.003314606387856178,-0.04690762085790209,0.0013514971303912032,-0.04690762085790209,0.0013514971303912032,0.0,Microbe x Environment
No Microbes | Dynamic Heat,6,Day 6,2026-07-04,5,2,0.29769016589437214,0.0011895671027195363,0.29769016589437214,0.0011895671027195363,-0.05044091325918474,0.007464856958194271,-0.05044091325918474,0.007464856958194271,0.0,Microbe x Environment
No Microbes | Dynamic Heat,7,Day 7,2026-07-07,8,2,0.28724353803055624,0.004660540405893509,0.2866110532411507,0.004658725532491734,-0.06758683778877764,0.003283461108633364,-0.059418755254176,0.01005577900684226,18.0,Microbe x Environment
No Microbes | Inside,1,Day 1,2026-06-29,0,2,0.3194771167423044,0.0055515044626118235,0.3194771167423044,0.0055515044626118235,-0.03892502660653134,0.008439206894365473,-0.03892502660653134,0.008439206894365473,0.0,Microbe x Environment
No Microbes | Inside,2,Day 2,2026-06-30,1,2,0.30659445620008874,0.004477418219567539,0.30659445620008874,0.004477418219567539,-0.04050314763361318,0.021536729635686397,-0.04050314763361318,0.021536729635686397,0.0,Microbe x Environment
No Microbes | Inside,3,Day 3,2026-07-01,2,2,0.30162051458443917,0.015129353208043697,0.30162051458443917,0.015129353208043697,-0.045119627952642155,0.013472017442033857,-0.045119627952642155,0.013472017442033857,0.0,Microbe x Environment
No Microbes | Inside,4,Day 4,2026-07-02,3,2,0.30677887563194545,0.01996784227460841,0.30677887563194545,0.01996784227460841,-0.05002098856202788,0.01907886892679135,-0.05002098856202788,0.01907886892679135,0.0,Microbe x Environment
No Microbes | Inside,5,Day 5,2026-07-03,4,2,0.30639757588505745,0.00017834183055802152,0.30639757588505745,0.00017834183055802152,-0.033466279771112405,0.016227684484492435,-0.033466279771112405,0.016227684484492435,0.0,Microbe x Environment
No Microbes | Inside,6,Day 6,2026-07-04,5,2,0.29630316730056483,0.004813334773702265,0.29630316730056483,0.004813334773702265,-0.053751987857477965,0.0061500474752276615,-0.053751987857477965,0.0061500474752276615,0.0,Microbe x Environment
No Microbes | Inside,7,Day 7,2026-07-07,8,2,0.2947965650686196,0.008484705353259984,0.2761744291122471,0.024243035474549087,-0.05610062055555833,0.01310715541310285,-0.07291185961408436,0.018480772710458795,34.5,Microbe x Environment
No Microbes | Outside,1,Day 1,2026-06-29,0,2,0.3095541719879422,0.005638601677681836,0.3095541719879422,0.005638601677681836,-0.05648107999669651,0.010541341356934597,-0.05648107999669651,0.010541341356934597,0.0,Microbe x Environment
No Microbes | Outside,2,Day 2,2026-06-30,1,2,0.29508611570511545,0.018038327488069925,0.29508611570511545,0.018038327488069925,-0.05233352423030213,0.037559931284234314,-0.05233352423030213,0.037559931284234314,0.0,Microbe x Environment
No Microbes | Outside,3,Day 3,2026-07-01,2,2,0.29371155095951895,0.0012470015163320984,0.29371155095951895,0.0012470015163320984,-0.04540884394498006,0.009319689446006366,-0.04540884394498006,0.009319689446006366,0.0,Microbe x Environment
No Microbes | Outside,4,Day 4,2026-07-02,3,2,0.2943606310657092,0.010378805648239366,0.2943606310657092,0.010378805648239366,-0.05525490607999793,0.011028709436067824,-0.05525490607999793,0.011028709436067824,0.0,Microbe x Environment
No Microbes | Outside,5,Day 5,2026-07-03,4,2,0.2938544851328645,0.00764698947442584,0.2938544851328645,0.00764698947442584,-0.03652908854003592,0.013451755505720444,-0.03652908854003592,0.013451755505720444,0.0,Microbe x Environment
No Microbes | Outside,6,Day 6,2026-07-04,5,2,0.3028218314051628,0.0030846456561577696,0.3028218314051628,0.0030846456561577696,-0.05027158908279874,0.0039660836784125315,-0.05027158908279874,0.0039660836784125315,0.0,Microbe x Environment
No Microbes | Outside,7,Day 7,2026-07-07,8,2,0.28196545786091254,0.007438499852603514,0.28223363214305464,0.007059244145718491,-0.07731311108384809,0.0054119247123181145,-0.07731054083976358,0.005408289838275192,1.0,Microbe x Environment
